rank,name,year
301,University of Milan,2016
301,University of Milan-Bicocca,2016
301,Montpellier University,2016
301,Nagoya University,2016
301,University of Naples Federico II,2016
301,National Chiao Tung University,2016
301,National Taiwan University of Science and Technology (Taiwan Tech),2016
301,University of Navarra,2016
301,University of Nebraska-Lincoln,2016
301,Örebro University,2016
301,University of Oregon,2016
301,University of Padua,2016
301,University of Pavia,2016
301,University of Plymouth,2016
301,Shanghai Jiao Tong University,2016
301,University of Southern Denmark,2016
301,Stellenbosch University,2016
301,University of Strasbourg,2016
301,TU Dortmund University,2016
301,Toulouse 1 Capitole University,2016
301,University of Trieste,2016
301,University of Turin,2016
301,University of Turku,2016
301,Vrije Universiteit Brussel,2016
301,VSB - Technical University of Ostrava,2016
301,Yonsei University,2016
301,York University,2016
351,SUNY Binghamton University,2016
351,University of Crete,2016
351,University of Cyprus,2016
351,Drexel University,2016
351,University of Eastern Finland,2016
351,University of Florence,2016
351,University of St Gallen,2016
351,Graz University of Technology,2016
351,University of Guelph,2016
351,Hanyang University,2016
351,Hong Kong Baptist University,2016
351,University of Houston,2016
351,Indian Institute of Technology Bombay,2016
351,Instituto Superior Técnico Lisboa,2016
351,University of Jyväskylä,2016
351,La Trobe University,2016
351,Loughborough University,2016
351,University of Manitoba,2016
351,Mizzou - University of Missouri,2016
351,University of Modena and Reggio Emilia,2016
351,University of Montana,2016
351,Maynooth University,2016
351,University of Nebraska Medical Center,2016
351,University of New Mexico (Main campus),2016
351,Norwegian University of Science and Technology,2016
351,University of Oulu,2016
351,Panthéon-Sorbonne University – Paris 1,2016
351,Polytechnic University of Turin,2016
351,University of Rome III,2016
351,Bilkent University,2016
351,Sabancı University,2016
351,San Diego State University,2016
351,University of South Australia,2016
351,University of South Carolina-Columbia,2016
351,University of South Dakota,2016
351,University of Campinas,2016
351,University of Stirling,2016
351,Sun Yat-sen University,2016
351,Swansea University,2016
351,Swinburne University of Technology,2016
351,University of Tartu,2016
351,Temple University,2016
351,The University of Texas at San Antonio,2016
351,UiT The Arctic University of Norway,2016
351,Université Libre de Bruxelles,2016
351,Lille 2 University – Health and Law,2016
351,University College Cork,2016
351,Verona University,2016
351,Victoria University of Wellington,2016
351,Washington State University,2016
351,Wayne State University,2016
401,American University,2016
401,Aston University,2016
401,University of Aveiro,2016
401,University of Bari Aldo Moro,2016
401,Bar-Ilan University,2016
401,Makerere University,2016
401,Bournemouth University,2016
401,University of Brescia,2016
401,Brno University of Technology,2016
401,Brunel University London,2016
401,Ca’ Foscari University of Venice,2016
401,University of Cagliari,2016
401,University of Canterbury,2016
401,Catholic University of the Sacred Heart,2016
401,Charles University,2016
401,"China Medical University, Taiwan",2016
401,"City, University of London",2016
401,Claude Bernard University Lyon 1,2016
401,University of Coimbra,2016
401,Complutense University of Madrid,2016
401,Concordia University,2016
401,Curtin University,2016
401,Dublin City University,2016
401,East China University of Science and Technology,2016
401,Ewha Womans University,2016
401,Federico Santa María Technical University,2016
401,University of Ferrara,2016
401,Florida International University,2016
401,University of Genoa,2016
401,Georgia State University,2016
401,University of Graz,2016
401,Heriot-Watt University,2016
401,Hokkaido University,2016
401,Howard University,2016
401,University of Hull,2016
401,University of Idaho,2016
401,Indian Institute of Technology Delhi,2016
401,Indian Institute of Technology Kharagpur,2016
401,Indian Institute of Technology Madras,2016
401,University of Ioannina,2016
401,Iran University of Science and Technology,2016
401,Johannes Kepler University of Linz,2016
401,University of Kaiserslautern,2016
401,Keele University,2016
401,University of KwaZulu-Natal,2016
401,Kyung Hee University,2016
401,Kyushu University,2016
401,Lehigh University,2016
401,Louisiana State University,2016
401,University of Macau,2016
401,Marche Polytechnic University,2016
401,"University of Maryland, Baltimore County",2016
401,Murdoch University,2016
401,Nantes Université,2016
401,National and Kapodistrian University of Athens,2016
401,National Autonomous University of Mexico,2016
401,National Cheng Kung University (NCKU),2016
401,National Institute of Applied Sciences of Lyon (INSA Lyon),2016
401,National Yang-Ming University,2016
401,University of Neuchâtel,2016
401,NOVA University of Lisbon,2016
401,University of Nice Sophia Antipolis,2016
401,Novosibirsk State University,2016
401,The Open University,2016
401,Oxford Brookes University,2016
401,University of Palermo,2016
401,University of Parma,2016
401,University of Pisa,2016
401,Universitat Politècnica de Catalunya,2016
401,Pontificia Universidad Católica de Chile,2016
401,University of Porto,2016
401,University of Portsmouth,2016
401,RMIT University,2016
401,University of Rome II – Tor Vergata,2016
401,Rovira i Virgili University,2016
401,Saint Petersburg State University,2016
401,University of Salento,2016
401,University of San Francisco,2016
401,University of Saskatchewan,2016
401,Sharif University of Technology,2016
401,University of Siena,2016
401,Southern Cross University,2016
401,SUNY University at Albany,2016
401,University of Strathclyde,2016
401,University of Tampere,2016
401,Boğaziçi University,2016
401,Tampere University of Technology,2016
401,Tokyo Medical and Dental University (TMDU),2016
401,Tokyo Metropolitan University,2016
401,University of Tsukuba,2016
401,University of Ulsan,2016
401,Ulster University,2016
401,Université du Québec à Montréal,2016
401,Universiti Teknologi Malaysia,2016
401,University of Urbino Carlo Bo,2016
401,University of Valencia,2016
401,University of Waikato,2016
401,Western Sydney University,2016
401,Wuhan University,2016
401,Xiamen University,2016
501,American University of Beirut,2016
501,Amirkabir University of Technology,2016
501,"University of the Andes, Colombia",2016
501,University of Arkansas,2016
501,Auburn University,2016
501,Babeş-Bolyai University,2016
501,Bauman Moscow State Technical University,2016
501,Blaise Pascal University,2016
501,University of Burgundy,2016
501,University of Canberra,2016
501,Ben-Gurion University of the Negev,2016
501,Carleton University,2016
501,University of Catania,2016
501,Central Queensland University,2016
501,University of Chile,2016
501,China Agricultural University,2016
501,Chung-Ang University,2016
501,Czech Technical University in Prague,2016
501,De Montfort University,2016
501,East China Normal University,2016
501,Edith Cowan University,2016
501,Federal University of Rio de Janeiro,2016
501,University of Granada,2016
501,University of Haifa,2016
501,Harbin Institute of Technology,2016
501,University of Hertfordshire,2016
501,Hiroshima University,2016
501,Huazhong University of Science and Technology,2016
501,Indian Institute of Technology Guwahati,2016
501,Indian Institute of Technology Kanpur,2016
501,Indian Institute of Technology Roorkee,2016
501,Isfahan University of Technology,2016
501,Istanbul Technical University,2016
501,Jadavpur University,2016
501,Kanazawa University,2016
501,Kansas State University,2016
501,Keio University,2016
501,Kent State University,2016
501,King Fahd University of Petroleum and Minerals,2016
501,King Saud University,2016
501,University of La Laguna,2016
501,Lappeenranta-Lahti University of Technology LUT,2016
501,University of Limerick,2016
501,University of Lisbon,2016
501,Liverpool John Moores University,2016
501,Mahidol University,2016
501,Manchester Metropolitan University,2016
501,University of Maribor,2016
501,Masaryk University,2016
501,University of the Basque Country,2016
501,Massey University,2016
501,Memorial University of Newfoundland,2016
501,Middle East Technical University,2016
501,University of Minho,2016
501,Missouri University of Science and Technology,2016
501,Montana State University,2016
501,Monterrey Institute of Technology,2016
501,National Central University,2016
501,National Sun Yat-Sen University,2016
501,National Taiwan Normal University,2016
501,National Technical University of Athens,2016
501,Moscow Institute of Physics and Technology (MIPT),2016
501,New Jersey Institute of Technology,2016
501,New Mexico State University (Main campus),2016
501,University of North Carolina at Greensboro,2016
501,Oklahoma State University,2016
501,Osaka City University,2016
501,Otto von Guericke University of Magdeburg,2016
501,University of Oviedo,2016
501,Palacký University Olomouc,2016
501,Panjab University,2016
501,Paris Dauphine University,2016
501,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),2016
501,Portland State University,2016
501,University of Pretoria,2016
501,Pusan National University,2016
501,Quaid-i-Azam University,2016
501,University of Regina,2016
501,Renmin University of China,2016
501,University of Rennes 1,2016
501,University of Salamanca,2016
501,University of Santiago de Compostela,2016
501,Semmelweis University,2016
501,University of Seville,2016
501,Université de Sherbrooke,2016
501,"Soochow University, China",2016
501,South China University of Technology,2016
501,Tallinn University of Technology,2016
501,Tehran University of Medical Sciences,2016
501,University of Texas at Arlington,2016
501,Tianjin University,2016
501,Tokyo University of Agriculture and Technology,2016
501,University of Toledo,2016
501,Tongji University,2016
501,The University of Tulsa,2016
501,United Arab Emirates University,2016
501,University of Warsaw,2016
501,University of Wisconsin-Milwaukee,2016
501,Xi’an Jiaotong University,2016
501,University of Zaragoza,2016
601,University of A Coruña,2016
601,"Adam Mickiewicz University, Poznań",2016
601,AGH University of Science and Technology,2016
601,Ajou University,2016
601,University of Alcalá,2016
601,Alexandria University,2016
601,Alexandru Ioan Cuza University,2016
601,Aligarh Muslim University,2016
601,American University of Sharjah,2016
601,Amrita Vishwa Vidyapeetham,2016
601,Anadolu University,2016
601,Andhra University,2016
601,University of Antioquia,2016
601,Aristotle University of Thessaloniki,2016
601,"Asia University, Taiwan",2016
601,Athens University of Economics and Business,2016
601,Auckland University of Technology,2016
601,Austral University of Chile,2016
601,Beijing Institute of Technology,2016
601,Belarusian State University,2016
601,University of Belgrade,2016
601,"Birla Institute of Technology and Science, Pilani",2016
601,University of Bradford,2016
601,University of Brasília,2016
601,University of Brighton,2016
601,University of Bucharest,2016
601,Budapest University of Technology and Economics,2016
601,Cairo University,2016
601,University of Calcutta,2016
601,"California State University, Long Beach",2016
601,Capital Medical University,2016
601,University of Castilla-La Mancha,2016
601,University of Central Lancashire,2016
601,University of Cergy-Pontoise,2016
601,Chang Gung University,2016
601,Carlos III University of Madrid,2016
601,"University of Chemistry and Technology, Prague",2016
601,Chiang Mai University,2016
601,Chiba University,2016
601,"China University of Geosciences, Wuhan",2016
601,"China University of Petroleum, Beijing",2016
601,Jeonbuk National University,2016
601,Chongqing University,2016
601,Chonnam National University,2016
601,Chulalongkorn University,2016
601,Chung Yuan Christian University,2016
601,Chungnam National University,2016
601,Clemson University,2016
601,Comenius University in Bratislava,2016
601,Coventry University,2016
601,Dalian University of Technology,2016
601,University of Debrecen,2016
601,University of Delhi,2016
601,University of Dhaka,2016
601,Dublin Institute of Technology,2016
601,Ehime University,2016
601,University of Electronic Science and Technology of China,2016
601,Eötvös Loránd University,2016
601,Erciyes University,2016
601,Universidade Federal da Bahia,2016
601,Federal University of Minas Gerais,2016
601,Universidade Federal do Paraná (UFPR),2016
601,Universidade Federal do Rio Grande do Sul,2016
601,Universidade Federal de Santa Catarina,2016
601,Federal University of São Carlos,2016
601,Federal University of Viçosa,2016
601,Federal University of Lavras,2016
601,Feng Chia University,2016
601,Florida Institute of Technology,2016
601,Fu Jen Catholic University,2016
601,Gdańsk University of Technology,2016
601,University of Ghana,2016
601,Gifu University,2016
601,Glasgow Caledonian University,2016
601,University of Greenwich,2016
601,Hacettepe University,2016
601,University of Huddersfield,2016
601,University of Tehran,2016
601,Hunan University,2016
601,University of Ibadan,2016
601,University of Indonesia,2016
601,Inha University,2016
601,I-Shou University,2016
601,Istanbul University,2016
601,Jagiellonian University,2016
601,Jilin University,2016
601,The University of Jordan,2016
601,Jordan University of Science and Technology,2016
601,Juntendo University,2016
601,K.N. Toosi University of Technology,2016
601,Kaohsiung Medical University,2016
601,Khon Kaen University,2016
601,King Mongkut’s University of Technology Thonburi,2016
601,Kingston University,2016
601,Kindai University,2016
601,Kobe University,2016
601,Konkuk University,2016
601,Kumamoto University,2016
601,Kyungpook National University,2016
601,Kyushu Institute of Technology (Kyutech),2016
601,University of Latvia,2016
601,Lille 1 University – Science and Technology,2016
601,University of Lincoln,2016
601,University of Ljubljana,2016
601,University of Marrakech Cadi Ayyad,2016
601,Miami University,2016
601,Middlesex University,2016
601,University of Murcia,2016
601,Nagasaki University,2016
601,University of Nairobi,2016
601,National Chengchi University,2016
601,National Chung Cheng University,2016
601,National Chung Hsing University,2016
601,National Taipei University of Technology,2016
601,National Taiwan Ocean University,2016
601,National University of Córdoba,2016
601,National University of Science and Technology (MISiS),2016
601,National University of Sciences and Technology,2016
601,Niigata University,2016
601,Northumbria University,2016
601,Northwestern Polytechnical University,2016
601,Nottingham Trent University,2016
601,Oakland University,2016
601,Ocean University of China,2016
601,Ohio University (Main campus),2016
601,Okayama University,2016
601,Osaka Prefecture University,2016
601,University of Pardubice,2016
601,University of Paris North – Paris 13,2016
601,University of Patras,2016
601,University of Pécs,2016
601,Polytechnic University of Valencia,2016
601,Pontifícia Universidade Católica do Paraná,2016
601,Pontifical Catholic University of Rio Grande do Sul (PUCRS),2016
601,Pontifical Catholic University of Valparaíso,2016
601,Prince of Songkla University,2016
601,Qatar University,2016
601,Universidade do Estado do Rio de Janeiro (UERJ),2016
601,Rochester Institute of Technology,2016
601,Saitama University,2016
601,University of Salford,2016
601,"University of Santiago, Chile (USACH)",2016
601,Universidade Estadual Paulista (Unesp),2016
601,Savitribai Phule Pune University,2016
601,University of Science and Technology Beijing,2016
601,Sejong University,2016
601,University of Seoul,2016
601,Shahid Beheshti University,2016
601,Shanghai University,2016
601,Shantou University,2016
601,Sheffield Hallam University,2016
601,Shinshu University,2016
601,Showa University,2016
601,Sichuan University,2016
601,University of Silesia in Katowice,2016
601,Slovak University of Technology in Bratislava,2016
601,Sogang University,2016
601,Sophia University,2016
601,University of South Africa,2016
601,Southern Federal University,2016
601,University of Southern Mississippi,2016
601,University of Southern Queensland,2016
601,Suez Canal University,2016
601,Sultan Qaboos University,2016
601,Suranaree University of Technology,2016
601,University of Szeged,2016
601,Taipei Medical University,2016
601,Taras Shevchenko National University of Kyiv,2016
601,Technical University of Madrid,2016
601,University of Texas at El Paso,2016
601,Texas Tech University,2016
601,Tokai University,2016
601,Tokushima University,2016
601,Tokyo University of Marine Science and Technology,2016
601,Tokyo University of Science,2016
601,Tomsk State University,2016
601,Tottori University,2016
601,Toyohashi University of Technology (TUT),2016
601,Universiti Kebangsaan Malaysia,2016
601,Universiti Putra Malaysia,2016
601,Universiti Sains Malaysia,2016
601,Universiti Teknologi MARA,2016
601,Ural Federal University,2016
601,V.N. Karazin Kharkiv National University,2016
601,University of Vigo,2016
601,Vilnius University,2016
601,Warsaw University of Technology,2016
601,Waseda University,2016
601,University of West Bohemia,2016
601,University of the West of England,2016
601,West University of Timişoara,2016
601,University of Westminster,2016
601,Xidian University,2016
601,Yeungnam University,2016
601,Yıldız Technical University,2016
601,Yokohama City University,2016
601,Yokohama National University,2016
601,Yuan Ze University,2016
1,University of Oxford,2017
2,California Institute of Technology,2017
3,Stanford University,2017
4,University of Cambridge,2017
5,Massachusetts Institute of Technology,2017
6,Harvard University,2017
7,Princeton University,2017
8,Imperial College London,2017
9,ETH Zurich,2017
10,"University of California, Berkeley",2017
10,The University of Chicago,2017
12,Yale University,2017
13,University of Pennsylvania,2017
